ARL PRL PPC AC
14 13 21 24
29 13 29 23
22 9 13 15
16 10 14 20
37 16 21 21
37 10 29 29
31 14 17 28
29 14 24 28
18 17 15 21
20 15 22 14
34 12 34 30
32 19 27 37
59 30 31 35
55 23 25 24
5 10 12 31
6 11 10 27
3 2 4 2
3 4 2 3
2 4 3 1
4 3 1 1
1 0 0 0
1 0 0 0
0 0 0 0
0 0 0 0
15 11 8 13
15 13 15 19
8 14 14 17
6 14 8 15
37 32 44 31
32 19 29 38
21 13 6 15
19 8 9 13
6 5 12 10
4 9 4 15
3 4 2 3
3 1 6 6
2 2 2 1
3 1 0 2
0 1 0 0
0 0 0 0
17 9 17 25
10 12 18 20
51 25 29 20
44 20 51 32
10 8 19 20
11 12 19 27
0 1 7 4
2 1 3 1
6 2 12 5
6 4 5 9
0 0 0 0
0 0 0 0
